,Company,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain,Issue type
110,Aatmaj Healthcare,19.3,43.6,30 Jun `23,38.4 Cr,₹ 60,-,35.0x,28.8x,31.9x,56.0,53.2,-6.7%,-67.8%,SME
111,Cell Point,18.3,34.2,28 Jun `23,50.3 Cr,₹ 100,-,4.0x,7.5x,5.8x,100.0,95.0,0.0%,-81.7%,SME
112,Bizotic Commercial,263.0,211.5,23 Jun `23,42.2 Cr,₹ 175,-,2.0x,1.6x,1.8x,180.0,171.0,2.9%,50.3%,SME
113,Spectrum Talent ,113.5,262.1,22 Jun `23,105.1 Cr,₹ 173,2.1x,33.6x,16.0x,11.7x,155.0,147.3,-10.4%,-34.4%,SME
114,Urban Enviro Waste,170.1,147.3,22 Jun `23,11.4 Cr,₹ 100,-,275.8x,209.5x,242.7x,141.0,148.1,41.0%,240.2%,SME
115,Sonalis Consumer Products,70.3,33.4,19 Jun `23,2.8 Cr,₹ 30,-,36.4x,45.9x,41.1x,38.0,39.9,26.7%,134.2%,SME
116,Kore Digital,276.9,333.0,14 Jun `23,18.0 Cr,₹ 180,-,47.4x,31.5x,39.5x,201.0,190.9,11.7%,361.6%,SME
117,Comrade Appliances,100.5,78.1,13 Jun `23,12.3 Cr,₹ 54,21.9x,120.8x,72.1x,71.9x,87.0,91.3,61.1%,86.0%,SME
118,Sahana System,1270.0,1115.7,12 Jun `23,32.7 Cr,₹ 135,9.2x,6.8x,12.3x,9.5x,163.0,171.2,20.7%,840.7%,SME
119,Infollion Research ,463.5,449.2,08 Jun `23,21.4 Cr,₹ 82,36.1x,800.4x,345.5x,259.1x,209.0,198.6,154.9%,465.2%,SME
120,Proventus Agrocom,980.0,337.8,05 Jun `23,69.5 Cr,₹ 771,-,4.5x,0.7x,2.6x,821.0,862.0,6.5%,27.1%,SME
121,Hemant Surgical ,208.2,217.3,05 Jun `23,24.8 Cr,₹ 90,41.0x,203.3x,158.7x,139.7x,171.0,179.6,90.0%,131.3%,SME
122,Crayons Advertising,67.0,163.7,02 Jun `23,41.8 Cr,₹ 65,24.0x,308.6x,225.7x,137.3x,90.0,94.5,38.5%,3.1%,SME
123,Vasa Denticity,610.0,1014.0,02 Jun `23,54.1 Cr,₹ 128,19.8x,207.6x,77.0x,68.0x,211.0,221.6,64.8%,376.6%,SME
124,Remus Pharma,965.0,1137.2,29 May `23,47.7 Cr,₹ 1229,10.8x,229.3x,49.8x,57.2x,1711.3,1796.8,39.2%,528.2%,SME
125,Krishca Strapping ,263.0,373.2,26 May `23,17.9 Cr,₹ 54,36.1x,786.9x,572.8x,336.6x,118.8,112.9,120.0%,387.0%,SME
126,Auro Impex ,51.0,62.2,23 May `23,24.3 Cr,₹ 78,6.3x,235.7x,81.2x,66.9x,78.0,75.7,0.0%,-34.6%,SME
127,Innokaiz,16.3,16.7,11 May `23,21.2 Cr,₹ 78,23.9x,224.9x,46.1x,88.4x,148.2,155.6,90.0%,-79.1%,SME
128,De Neers Tools,315.0,901.1,11 May `23,23.0 Cr,₹ 101,3.7x,60.2x,11.9x,15.0x,190.0,180.5,88.1%,211.9%,SME
129,Retina Paints,64.2,98.5,03 May `23,11.1 Cr,₹ 30,-,6.2x,10.4x,8.3x,29.1,30.5,-3.2%,114.0%,SME
130,Quicktouch Tech,57.5,73.7,02 May `23,9.3 Cr,₹ 61,-,165.0x,49.5x,107.3x,92.0,96.6,50.8%,-5.7%,SME
131,A G Universal,60.0,32.9,24 Apr `23,8.7 Cr,₹ 60,-,4.2x,2.5x,3.4x,60.0,60.1,0.0%,0.1%,SME
132,Pattech Fitwell Tube,138.0,107.0,21 Apr `23,12.0 Cr,₹ 50,-,2.0x,1.9x,2.0x,55.0,57.8,10.0%,176.0%,SME
133,MOS Utility,251.0,625.9,18 Apr `23,50.0 Cr,₹ 76,5.4x,55.0x,11.4x,14.9x,90.0,94.5,18.4%,230.3%,SME
134,Sancode Technologies,63.9,26.0,18 Apr `23,5.2 Cr,₹ 47,-,3.8x,3.2x,3.5x,64.0,60.8,36.2%,36.0%,SME
135,Infinium Pharmachem,274.1,381.4,17 Apr `23,25.3 Cr,₹ 135,-,1.8x,1.9x,1.9x,141.5,147.8,4.8%,306.0%,SME
136,Exhicon Events Media,541.0,701.2,17 Apr `23,21.1 Cr,₹ 64,1.0x,3.3x,2.3x,1.9x,64.0,67.2,0.0%,745.2%,SME
137,Sotac Pharma,125.0,138.1,13 Apr `23,33.3 Cr,₹ 111,1.0x,4.0x,0.9x,1.6x,115.0,120.8,3.6%,12.6%,SME
138,Maiden Forgings,82.3,116.9,06 Apr `23,23.8 Cr,₹ 63,1.0x,1.4x,1.1x,1.2x,63.0,59.9,0.0%,30.6%,SME
139,Dev Labtech Venture,76.5,86.5,29 Mar `23,11.2 Cr,₹ 51,-,2.6x,8.2x,5.5x,51.0,50.2,0.0%,50.0%,SME
140,Command Polymers,32.7,30.6,29 Mar `23,7.1 Cr,₹ 28,-,1.8x,1.0x,1.4x,26.8,26.5,-4.5%,16.7%,SME
141,Nirman Agri Genetics,172.2,137.9,28 Mar `23,20.3 Cr,₹ 99,-,1.2x,2.2x,1.7x,102.0,101.3,3.0%,73.9%,SME
142,Quality Foils,70.4,20.1,24 Mar `23,4.5 Cr,₹ 60,-,464.5x,259.6x,364.4x,100.0,97.7,66.7%,17.3%,SME
143,Bright Outdoor Media,383.0,835.8,24 Mar `23,55.5 Cr,₹ 146,-,1.4x,1.1x,1.3x,150.0,157.5,2.7%,293.5%,SME
144,Labelkraft Tech,61.0,19.8,23 Mar `23,4.8 Cr,₹ 55,-,46.8x,59.8x,53.4x,56.0,55.8,1.8%,10.9%,SME
145,Sudarshan Pharma ,26.5,637.7,22 Mar `23,50.1 Cr,₹ 73,1.0x,0.8x,1.2x,1.1x,73.0,69.3,0.0%,263.0%,SME
146,VELS Film Intl,62.6,80.8,22 Mar `23,33.7 Cr,₹ 99,-,1.2x,1.0x,1.1x,101.0,103.4,2.0%,-36.8%,SME
147,MCON Rasayan,91.4,67.0,20 Mar `23,6.8 Cr,₹ 40,-,307.1x,453.4x,384.6x,48.0,50.4,20.0%,128.5%,SME
148,Prospect Commodities,60.0,24.5,20 Mar `23,7.5 Cr,₹ 61,-,6.8x,3.8x,5.3x,61.0,61.5,0.0%,-1.6%,SME
149,Systango Tech,241.7,354.5,15 Mar `23,34.8 Cr,₹ 90,14.1x,230.4x,66.6x,65.0x,98.0,102.9,8.9%,168.5%,SME
150,Vertexplus Tech,134.6,73.8,15 Mar `23,14.2 Cr,₹ 96,0.6x,35.1x,15.5x,11.0x,101.0,106.0,5.2%,40.2%,SME
151,ITCONS E-Solutions,527.0,310.2,13 Mar `23,8.7 Cr,₹ 51,-,16.1x,17.4x,16.7x,47.0,49.3,-7.9%,933.3%,SME
152,ResGen,82.4,172.8,13 Mar `23,28.2 Cr,₹ 47,1.1x,3.9x,3.9x,2.5x,49.0,46.6,4.3%,75.3%,SME
153,SVJ Enterprises,209.3,116.6,09 Mar `23,6.1 Cr,₹ 36,-,2.1x,0.9x,1.5x,38.0,36.1,5.6%,481.4%,SME
154,Srivasavi Adhesive Tapes,68.0,96.4,09 Mar `23,15.5 Cr,₹ 41,-,7.1x,8.3x,7.7x,40.0,42.0,-2.4%,65.8%,SME
155,Amanaya Ventures,13.3,5.0,09 Mar `23,2.8 Cr,₹ 23,-,0.8x,2.7x,1.8x,20.1,19.1,-12.6%,-42.0%,SME
156,Patron Exim,6.1,14.1,06 Mar `23,16.7 Cr,₹ 27,-,1.0x,1.2x,1.1x,28.4,27.0,5.2%,-77.4%,SME
157,Viaz Tyres,67.0,82.1,01 Mar `23,20.0 Cr,₹ 62,-,5.3x,6.2x,5.8x,68.0,68.0,9.7%,8.1%,SME
158,Macfos,795.0,748.6,01 Mar `23,23.7 Cr,₹ 102,21.6x,660.0x,268.3x,193.8x,184.0,174.8,80.4%,679.4%,SME
159,Sealmatic,555.0,502.3,01 Mar `23,56.2 Cr,₹ 225,8.7x,39.1x,12.0x,13.5x,225.0,236.3,0.0%,146.7%,SME
160,Agarwal Float Glass,60.1,43.5,23 Feb `23,9.2 Cr,₹ 42,-,3.1x,7.2x,5.2x,44.0,44.0,4.8%,43.1%,SME
161,Indong Tea Company,15.9,31.0,21 Feb `23,13.0 Cr,₹ 26,-,2.2x,7.8x,5.0x,20.8,21.8,-20.0%,-38.6%,SME
162,Lead Reclaim & Rubber,90.0,77.8,21 Feb `23,4.9 Cr,₹ 25,-,87.6x,63.9x,75.7x,27.5,27.6,10.0%,260.0%,SME
163,Shera Energy,139.0,339.7,17 Feb `23,35.2 Cr,₹ 57,8.7x,190.1x,51.3x,47.4x,64.1,67.3,12.5%,143.9%,SME
164,Earthstahl & Alloys,25.5,31.2,08 Feb `23,13.0 Cr,₹ 40,39.8x,445.1x,190.7x,234.8x,55.0,57.8,37.5%,-36.3%,SME
165,Gayatri Rubbers,413.0,237.0,07 Feb `23,4.6 Cr,₹ 30,-,-,-,-,35.0,36.8,16.7%,1276.7%,SME
166,Transvoy Logistics,77.9,20.7,02 Feb `23,5.1 Cr,₹ 71,-,200.0x,168.4x,184.2x,71.0,74.5,0.0%,9.7%,SME
167,Dharni Capital ,54.9,111.7,31 Jan `23,10.7 Cr,₹ 20,-,6.3x,6.8x,6.5x,21.0,20.3,5.0%,174.3%,SME
168,Aristo Bio-Tech,121.0,82.4,30 Jan `23,13.1 Cr,₹ 72,-,285.8x,149.5x,217.7x,80.0,84.0,11.1%,68.1%,SME
169,Ducol Organics & Colours,124.3,202.5,19 Jan `23,31.5 Cr,₹ 78,-,58.1x,31.0x,44.6x,112.0,117.5,43.5%,59.3%,SME
170,Logica Infoway,213.8,380.5,17 Jan `23,16.9 Cr,₹ 225,-,1.9x,1.6x,1.7x,270.0,283.5,20.0%,470.1%,SME
171,Chaman Metallics,148.8,359.1,16 Jan `23,24.2 Cr,₹ 38,-,255.9x,159.8x,207.9x,68.0,64.6,79.0%,291.6%,SME
172,Rex Sealing ,212.0,47.1,12 Jan `23,8.1 Cr,₹ 135,-,2.0x,3.3x,2.6x,137.0,143.8,1.5%,57.0%,SME
173,SVS Ventures,10.1,21.5,12 Jan `23,11.2 Cr,₹ 20,-,0.5x,2.0x,1.3x,20.5,21.5,2.5%,-49.7%,SME
174,Anlon Technology ,419.9,262.7,10 Jan `23,15.0 Cr,₹ 100,54.5x,883.6x,446.8x,428.5x,251.1,263.6,151.1%,319.9%,SME
175,RBM Infracon,467.1,472.0,04 Jan `23,8.4 Cr,₹ 36,-,46.3x,34.2x,40.3x,52.5,55.1,45.8%,1197.6%,SME
176,Homesfy Realty,274.0,88.4,02 Jan `23,15.9 Cr,₹ 197,-,26.8x,16.5x,21.7x,275.1,287.9,39.6%,39.1%,SME
0,Newmalayalam Steel Ltd.,27.4,47.4,27 Dec `24,41.8 Cr,₹ 90,1.2x,23.5x,83.3x,48.2x,90.0,85.5,0.0%,-69.6%,SME
1,Identical Brains Studios Ltd.,41.5,58.1,26 Dec `24,19.9 Cr,₹ 54,99.7x,1357.7x,721.7x,506.1x,95.0,99.8,75.9%,-23.2%,SME
2,NACDAC Infrastructure Ltd.,37.7,39.6,24 Dec `24,10.0 Cr,₹ 35,118.2x,5237.1x,3232.8x,1976.1x,66.5,69.8,90.0%,7.6%,SME
3,Hamps Bio Ltd.,64.6,28.1,20 Dec `24,6.2 Cr,₹ 51,-,719.8x,1286.8x,1003.3x,96.9,101.7,90.0%,26.7%,SME
4,Yash Highvoltage Ltd.,475.0,1356.2,19 Dec `24,110.0 Cr,₹ 146,65.7x,439.0x,201.3x,169.2x,277.4,291.3,90.0%,225.3%,SME
5,Purple United Sales Ltd.,367.1,352.7,18 Dec `24,32.8 Cr,₹ 126,45.9x,358.5x,206.3x,148.9x,199.0,208.9,57.9%,191.3%,SME
6,Supreme Facility Management Ltd.,37.5,93.1,18 Dec `24,50.0 Cr,₹ 76,7.8x,15.0x,40.4x,25.7x,75.0,71.3,-1.3%,-50.7%,SME
7,Toss The Coin Ltd.,350.0,66.2,17 Dec `24,9.2 Cr,₹ 182,78.0x,1281.8x,2060.8x,952.6x,345.8,363.1,90.0%,92.3%,SME
8,Jungle Camps India Ltd.,58.0,89.9,17 Dec `24,29.4 Cr,₹ 72,104.5x,1010.5x,731.8x,460.0x,136.8,130.0,90.0%,-19.5%,SME
9,Dhanlaxmi Crop Science Ltd.,45.0,73.5,16 Dec `24,23.8 Cr,₹ 55,96.3x,1722.9x,738.4x,565.0x,104.5,109.7,90.0%,-18.2%,SME
10,Emerald Tyre Manufacturers Ltd.,114.2,222.4,12 Dec `24,49.3 Cr,₹ 95,102.9x,1199.3x,734.8x,488.5x,180.5,189.5,90.0%,20.2%,SME
11,Nisus Finance Services Co Ltd.,332.9,794.9,11 Dec `24,114.2 Cr,₹ 180,49.2x,592.0x,183.3x,177.6x,225.0,236.3,25.0%,84.9%,SME
12,Ganesh Infraworld Ltd.,190.2,812.6,06 Dec `24,98.6 Cr,₹ 83,80.6x,1072.3x,357.2x,326.2x,157.7,165.6,90.0%,129.2%,SME
13,Agarwal Toughened Glass India Ltd.,125.0,220.9,05 Dec `24,62.6 Cr,₹ 108,2.4x,20.6x,14.2x,9.3x,135.0,141.8,25.0%,15.7%,SME
14,Apex Ecotech Ltd.,123.0,162.2,04 Dec `24,25.5 Cr,₹ 73,71.8x,1554.3x,433.4x,420.7x,138.7,145.6,90.0%,68.5%,SME
15,Abha Power and Steel Ltd.,34.1,63.4,04 Dec `24,38.5 Cr,₹ 75,-,9.7x,23.7x,16.7x,81.9,77.8,9.2%,-54.5%,SME
16,C2C Advanced Systems Ltd.,627.0,1043.4,03 Dec `24,99.1 Cr,₹ 226,16.8x,310.2x,176.3x,116.6x,429.4,450.9,90.0%,177.4%,SME
17,Rajputana Biodiesel Ltd.,215.1,151.3,03 Dec `24,24.7 Cr,₹ 130,88.4x,1750.0x,968.9x,645.8x,247.0,259.4,90.0%,65.5%,SME
18,Rajesh Power Services Ltd.,1376.0,2477.8,02 Dec `24,160.5 Cr,₹ 335,24.5x,185.2x,42.4x,54.9x,636.5,668.3,90.0%,310.8%,SME
19,Lamosaic India Ltd.,36.3,37.5,29 Nov `24,61.2 Cr,₹ 200,-,0.9x,2.5x,1.7x,164.0,172.2,-18.0%,-81.9%,SME
20,Onyx Biotec Ltd.,48.0,87.1,22 Nov `24,29.3 Cr,₹ 61,17.3x,799.9x,158.3x,184.6x,54.0,56.8,-11.4%,-21.2%,SME
21,Mangal Compusolution Ltd.,59.0,80.3,21 Nov `24,16.2 Cr,₹ 45,-,21.2x,44.5x,32.9x,45.0,42.8,0.0%,31.1%,SME
22,Neelam Linens and Garments (India) Ltd.,24.1,48.8,18 Nov `24,13.0 Cr,₹ 24,8.2x,364.0x,76.6x,85.5x,40.0,38.0,66.9%,0.6%,SME
23,Usha Financial Services Ltd.,91.5,198.9,31 Oct `24,98.5 Cr,₹ 168,5.3x,38.2x,27.4x,18.0x,164.0,155.8,-2.4%,-45.5%,SME
24,Danish Power Ltd.,971.2,1912.4,29 Oct `24,197.9 Cr,₹ 380,54.7x,360.6x,104.2x,117.9x,570.0,598.5,50.0%,155.6%,SME
25,OBSC Perfection Ltd.,285.0,696.9,29 Oct `24,66.0 Cr,₹ 100,5.4x,34.8x,21.5x,15.5x,110.0,115.5,10.0%,185.0%,SME
26,United Heat Transfer Ltd.,82.3,156.3,29 Oct `24,30.0 Cr,₹ 59,14.2x,166.4x,131.4x,78.0x,61.0,64.0,3.3%,39.4%,SME
27,Premium Plast Ltd.,36.5,69.7,28 Oct `24,26.2 Cr,₹ 49,6.4x,18.7x,62.1x,37.0x,51.5,48.9,5.0%,-25.5%,SME
28,Freshara Agro Exports Ltd.,172.0,404.2,24 Oct `24,75.4 Cr,₹ 116,64.2x,635.5x,224.5x,206.0x,135.0,134.7,16.4%,48.3%,SME
29,Lakshya Powertech Ltd.,142.8,144.0,23 Oct `24,49.9 Cr,₹ 180,109.8x,1455.3x,744.9x,533.9x,342.0,359.1,90.0%,-20.6%,SME
30,Pranik Logistics Ltd.,77.7,85.5,17 Oct `24,22.5 Cr,₹ 77,18.9x,980.5x,128.0x,201.3x,79.0,83.0,2.6%,0.9%,SME
31,Shiv Texchem Ltd.,258.0,597.8,15 Oct `24,101.3 Cr,₹ 166,46.1x,605.9x,90.7x,145.7x,239.0,250.9,44.0%,55.4%,SME
32,Khyati Global Ventures Ltd.,65.0,45.4,11 Oct `24,18.3 Cr,₹ 99,-,5.2x,23.7x,14.5x,105.0,99.8,6.1%,-34.3%,SME
33,Neopolitan Pizza,13.1,22.2,09 Oct `24,12.0 Cr,₹ 20,-,21.8x,40.5x,31.1x,19.3,20.2,-3.8%,-34.6%,SME
34,Subam Papers Ltd.,78.5,182.5,08 Oct `24,93.7 Cr,₹ 152,30.4x,323.5x,65.1x,86.5x,142.0,149.1,-6.6%,-48.4%,SME
35,Paramount Dye Tec Ltd.,67.5,46.9,08 Oct `24,28.4 Cr,₹ 117,5.4x,180.4x,48.2x,46.6x,109.9,107.0,-6.1%,-42.3%,SME
36,Saj Hotels Ltd.,61.5,99.2,07 Oct `24,27.6 Cr,₹ 65,-,2.1x,8.2x,5.2x,55.0,52.5,-15.4%,-5.3%,SME
37,HVAX Technologies Ltd.,945.0,262.4,07 Oct `24,33.5 Cr,₹ 458,7.4x,104.7x,35.6x,31.8x,486.0,490.4,6.1%,106.3%,SME
38,Forge Auto International Ltd.,140.0,152.9,04 Oct `24,31.1 Cr,₹ 108,10.7x,78.2x,82.2x,45.9x,113.0,109.3,4.6%,29.6%,SME
39,Sahasra Electronic Solutions Ltd.,275.0,687.3,04 Oct `24,186.2 Cr,₹ 283,53.6x,346.8x,99.5x,113.6x,537.7,564.5,90.0%,-2.8%,SME
40,Divyadhan Recycling Industries Ltd.,56.9,81.3,04 Oct `24,24.2 Cr,₹ 64,15.6x,101.3x,43.0x,38.0x,84.0,88.2,31.3%,-11.2%,SME
41,Nexxus Petro Industries Ltd.,135.0,93.8,04 Oct `24,19.4 Cr,₹ 105,-,8.1x,8.1x,8.1x,126.0,132.3,20.0%,28.6%,SME
42,Thinking Hats Entertainment Solutions Ltd.,29.5,36.8,03 Oct `24,15.1 Cr,₹ 44,64.1x,338.4x,329.5x,305.4x,60.0,57.0,36.4%,-33.0%,SME
43,Techera Engineering India Ltd.,213.9,353.4,03 Oct `24,35.9 Cr,₹ 82,16.6x,171.8x,89.4x,65.3x,125.0,131.3,52.4%,160.8%,SME
44,Unilex Colours and Chemicals Ltd.,43.0,58.6,03 Oct `24,31.3 Cr,₹ 87,8.2x,81.2x,48.4x,33.2x,89.0,88.2,2.3%,-50.6%,SME
45,Rappid Valves (India) Ltd.,276.4,143.5,30 Sep `24,30.4 Cr,₹ 222,29.7x,654.2x,144.8x,163.6x,312.0,309.4,40.5%,24.5%,SME
46,WOL 3D India Ltd.,156.0,100.7,30 Sep `24,25.6 Cr,₹ 150,53.6x,994.8x,488.5x,347.0x,180.1,189.1,20.0%,4.0%,SME
47,Bikewo Green Tech Ltd.,18.8,24.5,27 Sep `24,24.1 Cr,₹ 62,4.1x,67.9x,78.6x,39.8x,45.0,47.3,-27.4%,-69.7%,SME
48,Phoenix Overseas Ltd.,23.1,44.8,27 Sep `24,36.0 Cr,₹ 64,62.4x,108.2x,141.0x,115.1x,64.0,60.8,0.0%,-63.8%,SME
49,Avi Ansh Textile Ltd.,100.5,140.5,27 Sep `24,26.0 Cr,₹ 62,-,45.6x,10.8x,8.0x,68.0,71.2,9.7%,62.1%,SME
50,S D Retail Ltd.,131.0,245.3,27 Sep `24,65.0 Cr,₹ 131,37.1x,276.3x,86.7x,90.3x,145.0,150.9,10.7%,0.0%,SME
51,Kalana Ispat Ltd.,40.0,52.2,26 Sep `24,32.6 Cr,₹ 66,-,70.5x,70.5x,54.8x,45.1,47.4,-31.6%,-39.4%,SME
52,Paramount Speciality Forgings Ltd.,42.5,83.6,25 Sep `24,32.3 Cr,₹ 59,11.1x,293.2x,54.9x,68.7x,83.0,87.2,40.7%,-28.0%,SME
53,Pelatro Ltd.,417.0,434.0,24 Sep `24,56.0 Cr,₹ 200,7.9x,72.4x,16.9x,20.7x,275.0,288.8,37.5%,108.5%,SME
54,Osel Devcies Ltd.,289.6,467.2,24 Sep `24,70.7 Cr,₹ 160,42.2x,427.3x,273.6x,180.7x,198.1,207.9,23.8%,81.0%,SME
55,Popular Foundations Ltd.,31.9,65.0,24 Sep `24,19.9 Cr,₹ 37,-,3.5x,14.1x,8.8x,37.0,37.1,0.0%,-13.8%,SME
56,Envirotech Systems Ltd.,129.9,244.1,24 Sep `24,30.2 Cr,₹ 56,32.1x,221.7x,75.5x,75.7x,106.4,111.7,90.0%,132.0%,SME
57,Deccan Transcon Leasing Ltd.,36.5,82.8,24 Sep `24,65.1 Cr,₹ 108,26.3x,182.9x,159.1x,96.3x,116.0,110.3,7.4%,-66.3%,SME
58,Sodhani Academy of Fintech Enablers Ltd.,260.0,148.1,23 Sep `24,6.1 Cr,₹ 40,-,492.6x,340.2x,416.4x,53.0,55.6,32.5%,550.0%,SME
59,Excellent Wires ,49.3,22.0,19 Sep `24,12.6 Cr,₹ 90,-,8.4x,30.4x,19.4x,85.0,82.0,-5.6%,-45.2%,SME
60,Innomet Advanced Materials Ltd.,173.0,223.9,18 Sep `24,34.2 Cr,₹ 100,-,299.0x,215.6x,282.5x,190.0,199.5,90.0%,73.0%,SME
61,SPP Polymer Ltd.,17.5,26.9,17 Sep `24,24.5 Cr,₹ 59,-,21.3x,56.8x,39.1x,63.0,59.9,6.8%,-70.3%,SME
62,Shubhshree Biofuels Energy Ltd.,434.9,228.0,16 Sep `24,16.6 Cr,₹ 119,14.7x,327.4x,179.8x,119.4x,189.0,198.4,58.8%,265.5%,SME
63,Aditya Ultra Steel Ltd.,43.8,108.8,16 Sep `24,45.9 Cr,₹ 62,1.1x,11.9x,22.5x,10.2x,69.9,66.4,12.7%,-29.4%,SME
64,Share Samadhan Ltd.,71.3,87.5,16 Sep `24,24.1 Cr,₹ 74,2.7x,16.9x,18.0x,13.6x,73.0,74.9,-1.3%,-3.6%,SME
65,Gajanand International Ltd.,12.7,23.8,16 Sep `24,20.6 Cr,₹ 36,-,5.6x,23.0x,14.3x,42.0,39.9,16.7%,-64.9%,SME
66,Vision Infra Equipment Solutions Ltd.,162.0,399.2,13 Sep `24,106.2 Cr,₹ 163,2.3x,2.2x,4.1x,2.9x,205.0,215.3,25.8%,-0.6%,SME
67,My Mudra Fincorp,79.7,90.8,12 Sep `24,33.3 Cr,₹ 110,25.9x,211.9x,144.4x,95.3x,130.0,123.5,18.2%,-27.6%,SME
68,Mach Conferences and Events Ltd.,132.0,277.7,11 Sep `24,125.3 Cr,₹ 225,146.7x,293.0x,136.5x,182.0x,300.0,295.6,33.3%,-41.3%,SME
69,Namo eWaste Management Ltd.,202.5,463.1,11 Sep `24,51.2 Cr,₹ 85,91.6x,524.5x,259.7x,209.9x,161.5,169.6,90.0%,138.2%,SME
70,Naturewings Holidays Ltd.,70.1,22.2,10 Sep `24,7.0 Cr,₹ 74,-,265.8x,462.6x,364.2x,95.0,90.3,28.4%,-5.3%,SME
71,Jeyyam Global Foods Ltd.,39.6,188.3,09 Sep `24,81.9 Cr,₹ 61,29.5x,425.7x,93.2x,111.2x,61.0,64.0,0.0%,-35.0%,SME
72,Boss Packaging Solutions Ltd.,47.3,21.0,06 Sep `24,8.4 Cr,₹ 66,-,98.5x,156.7x,127.6x,82.5,86.6,25.0%,-28.4%,SME
73,Travels & Rentals Ltd.,46.1,51.6,05 Sep `24,12.2 Cr,₹ 40,-,747.8x,408.5x,578.1x,55.0,57.8,37.5%,15.2%,SME
74,Paramatrix Tech,91.0,104.7,04 Sep `24,33.8 Cr,₹ 110,-,6.0x,11.3x,8.6x,115.0,120.8,4.6%,-17.3%,SME
75,Aeron Composite,121.5,206.7,04 Sep `24,56.1 Cr,₹ 125,13.8x,94.3x,42.1x,35.8x,150.0,157.5,20.0%,-2.8%,SME
76,Indian Phosphate Ltd.,53.1,132.7,03 Sep `24,67.4 Cr,₹ 99,95.8x,586.4x,355.3x,260.2x,188.1,178.7,90.0%,-46.4%,SME
77,Jay Bee Laminations Ltd.,250.0,564.2,03 Sep `24,28.9 Cr,₹ 146,37.6x,306.6x,129.9x,110.3x,277.4,291.3,90.0%,71.2%,SME
78,Vdeal System,155.6,76.1,03 Sep `24,18.1 Cr,₹ 112,-,58.6x,76.5x,67.6x,170.0,178.5,51.8%,38.9%,SME
79,Rapid Multimodal ,69.0,26.3,30 Aug `24,8.5 Cr,₹ 84,-,501.8x,163.8x,332.8x,103.0,108.1,22.6%,-17.9%,SME
80,Resourceful Automobile,56.4,15.0,29 Aug `24,12.0 Cr,₹ 117,-,324.3x,471.2x,397.8x,117.0,122.8,0.0%,-51.8%,SME
81,Ideal Technoplast ,165.0,82.5,28 Aug `24,16.0 Cr,₹ 121,-,103.1x,109.7x,106.4x,132.1,138.7,9.2%,36.4%,SME
82,QVC Exports,29.8,31.1,28 Aug `24,24.1 Cr,₹ 86,-,566.3x,397.8x,482.1x,161.0,152.9,87.2%,-65.4%,SME
83,Forcas Studio,109.0,191.6,26 Aug `24,37.4 Cr,₹ 80,109.1x,932.7x,552.3x,387.8x,152.0,144.4,90.0%,36.3%,SME
84,Brace Port Logistics,80.0,90.4,26 Aug `24,24.4 Cr,₹ 80,128.3x,1813.5x,803.0x,617.3x,152.0,159.6,90.0%,0.0%,SME
85,Solve Plastic ,35.0,15.3,21 Aug `24,11.8 Cr,₹ 91,-,14.8x,40.7x,28.7x,102.0,107.1,12.1%,-61.6%,SME
86,Broach Lifecare Hospital,22.9,13.9,21 Aug `24,4.0 Cr,₹ 25,-,84.0x,214.5x,150.8x,47.5,49.9,90.0%,-8.4%,SME
87,Sunlite Recycling ,163.0,177.3,20 Aug `24,30.2 Cr,₹ 105,57.8x,775.6x,334.0x,262.1x,199.5,209.4,90.0%,55.2%,SME
88,Positron Energy,309.5,235.2,20 Aug `24,51.2 Cr,₹ 250,122.8x,1071.8x,467.7x,385.9x,475.0,498.8,90.0%,23.8%,SME
89,Aesthetik Engineers,130.5,224.7,16 Aug `24,26.5 Cr,₹ 58,109.9x,2577.7x,633.4x,663.3x,110.2,115.7,90.0%,125.0%,SME
90,Afcom Holdings,1078.0,2679.7,09 Aug `24,73.8 Cr,₹ 108,186.2x,512.0x,202.8x,281.4x,205.2,215.4,90.0%,898.1%,SME
91,Picturepost Studios,20.6,60.4,09 Aug `24,18.7 Cr,₹ 24,53.6x,520.6x,418.9x,251.5x,30.0,31.5,25.0%,-14.2%,SME
92,Dhariwalcorp,174.0,155.8,08 Aug `24,25.1 Cr,₹ 106,39.8x,379.7x,251.8x,165.0x,150.0,142.5,41.5%,64.2%,SME
93,Utssav CZ Jewels,222.8,530.8,07 Aug `24,69.5 Cr,₹ 110,19.4x,86.1x,62.0x,44.3x,110.0,115.5,0.1%,102.6%,SME
94,Sathlokhar Synergys ,396.0,955.9,06 Aug `24,92.9 Cr,₹ 140,85.8x,478.9x,200.8x,185.0x,260.0,247.0,85.7%,182.9%,SME
95,Rajputana Industries,92.0,204.4,06 Aug `24,23.9 Cr,₹ 38,81.8x,540.0x,644.6x,347.5x,72.2,75.8,90.0%,142.1%,SME
96,Bulkcorp Intl,81.4,61.2,06 Aug `24,20.8 Cr,₹ 105,55.4x,334.3x,481.7x,246.4x,130.0,136.5,23.8%,-22.5%,SME
