,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
560,Infinium Pharmachem,1.88 x Oversubscribed,"₹135,000",1000,₹253.1 M,1.9 M,₹135,73.05 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: INFINIUM
561,Exhicon Events Media,1.95 x Oversubscribed,"₹128,000",2000,₹201.3 M - ₹211.2 M,3.3 M,₹61 - ₹64,72.21 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,BSE: 543895
562,Sotac Pharma,1.6 x Oversubscribed,"₹133,200",1200,₹315.0 M - ₹333.0 M,3.0 M,₹105 - ₹111,72.85 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: SOTAC
563,Maiden Forgings,1.2 x Oversubscribed,"₹126,000",2000,₹227.0 M - ₹238.4 M,3.8 M,₹60 - ₹63,73.37 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,BSE: 543874
564,Udayshivakumar Infra,32.48 x Oversubscribed,"₹14,980",428,₹622.3 M - ₹660.0 M,18.9 M,₹33 - ₹35,65.94 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : ROADS & HIGHWAYS,NSE: USK | BSE: 543861
565,Dev Labtech Venture,5.47 x Oversubscribed,"₹102,000",2000,₹112.2 M,2.2 M,₹51,73.4 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 543848
566,Command Polymers,1.39 x Oversubscribed,"₹112,000",4000,₹70.9 M,2.5 M,₹28,73 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,BSE: 543843
567,Nirman Agri Genetics,1.71 x Oversubscribed,"₹118,800",1200,₹203.0 M,2.1 M,₹99,65.6 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: NIRMAN
568,Quality Foils,364.38 x Oversubscribed,"₹120,000",2000,₹45.2 M,754.0 K,₹60,73.58 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: QFIL
569,Bright Outdoor Media,1.27 x Oversubscribed,"₹146,000",1000,₹554.8 M,3.8 M,₹146,72.72 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,BSE: 543831
570,Global Surfaces,12.21 x Oversubscribed,"₹14,000",100,"₹1,472.3 M - ₹1,549.8 M",11.1 M,₹133 - ₹140,73.88 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : FURNITURE-FURNISHING,NSE: GSLSU | BSE: 543829
571,Labelkraft Tech,53.42 x Oversubscribed,"₹110,000",2000,₹47.5 M,864.0 K,₹55,73.37 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 543830
572,Sudarshan Pharma,1.06 x Oversubscribed,"₹116,800",1600,₹487.2 M - ₹501.0 M,6.9 M,₹71 - ₹73,71.48 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,BSE: 543828
573,VELS Film Intl,1.1 x Oversubscribed,"₹118,800",1200,₹337.4 M,3.4 M,₹99,73.6 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: VELS
574,MCON Rasayan,384.64 x Oversubscribed,"₹120,000",3000,₹68.4 M,1.7 M,₹40,72.87 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION MATERIALS,NSE: MCON
575,Prospect Commodities,5.31 x Oversubscribed,"₹122,000",2000,₹74.8 M,1.2 M,₹61,70.03 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543814
576,Systango Tech,64.99 x Oversubscribed,"₹144,000",1600,₹328.8 M - ₹348.2 M,3.9 M,₹85 - ₹90,73.63 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: SYSTANGO
577,Vertexplus Tech,11.01 x Oversubscribed,"₹115,200",1200,₹134.6 M - ₹142.0 M,1.5 M,₹91 - ₹96,73 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: VERTEXPLUS
578,Divgi Torqtransfer,5.44 x Oversubscribed,"₹14,750",25,"₹3,911.7 M - ₹4,121.2 M",7.0 M,₹560 - ₹590,77.16 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: DIVGIITTS | BSE: 543812
579,ITCONS E-Solutions,16.74 x Oversubscribed,"₹102,000",2000,₹86.7 M,1.7 M,₹51,66.19 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,BSE: 543806
580,ResGen,2.5 x Oversubscribed,"₹141,000",3000,₹270.0 M - ₹282.0 M,6.0 M,₹45 - ₹47,71.39 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,BSE: 543805
581,SVJ Enterprises,1.49 x Oversubscribed,"₹108,000",3000,₹61.2 M,1.7 M,₹36,69.47 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : PAPER & PAPER PRODUCTS,BSE: 543799
582,Srivasavi Adhesive Tapes,7.68 x Oversubscribed,"₹123,000",3000,₹155.0 M,3.8 M,₹41,73.33 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: SRIVASAVI
583,Amanaya Ventures,1.75 x Oversubscribed,"₹138,000",6000,₹27.6 M,1.2 M,₹23,67.91 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543804
584,Patron Exim,1.07 x Oversubscribed,"₹108,000",4000,₹166.9 M,6.2 M,₹27,73.34 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,BSE: 543798
585,Viaz Tyres,5.76 x Oversubscribed,"₹124,000",2000,₹200.0 M,3.2 M,₹62,73.67 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO TYRES & RUBBER PRODUCTS,NSE: VIAZ
586,Macfos,193.8 x Oversubscribed,"₹122,400",1200,₹223.5 M - ₹237.5 M,2.3 M,₹96 - ₹102,73.65 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,BSE: 543787
587,Sealmatic,13.49 x Oversubscribed,"₹135,000",600,₹549.9 M - ₹562.4 M,2.5 M,₹220 - ₹225,72.38 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,BSE: 543782
588,Agarwal Float Glass,5.16 x Oversubscribed,"₹126,000",3000,₹92.0 M,2.2 M,₹42,69.77 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: AGARWALFT
589,Indong Tea Company,4.96 x Oversubscribed,"₹104,000",4000,₹130.1 M,5.0 M,₹26,66.64 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : TEA & COFFEE,BSE: 543769
590,Lead Reclaim & Rubber,75.74 x Oversubscribed,"₹150,000",6000,₹48.8 M,1.9 M,₹25,73.44 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO TYRES & RUBBER PRODUCTS,NSE: LRRPL
591,Shera Energy,47.36 x Oversubscribed,"₹114,000",2000,₹339.7 M - ₹352.0 M,6.2 M,₹55 - ₹57,72.9 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: SHERA
592,Earthstahl & Alloys,234.79 x Oversubscribed,"₹120,000",3000,₹123.1 M - ₹129.6 M,3.2 M,₹38 - ₹40,73.53 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,BSE: 543765
593,Gayatri Rubbers,,"₹120,000",4000,₹45.8 M,1.5 M,₹30,73.37 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO TYRES & RUBBER PRODUCTS,NSE: GRCL
594,Transvoy Logistics,184.18 x Oversubscribed,"₹113,600",1600,₹51.1 M,720.0 K,₹71,72.96 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,BSE: 543754
595,Dharni Capital,6.53 x Oversubscribed,"₹120,000",6000,₹107.4 M,5.4 M,₹20,73.64 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,BSE: 543753
596,Aristo Bio-Tech,217.67 x Oversubscribed,"₹115,200",1600,₹130.5 M,1.8 M,₹72,73.37 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : AGROCHEMICALS,NSE: ARISTO
597,Ducol Organics & Colours,44.58 x Oversubscribed,"₹124,800",1600,₹315.1 M,4.0 M,₹78,72.21 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : DYES & PIGMENTS,NSE: DUCOL
598,Logica Infoway,1.74 x Oversubscribed,"₹135,000",600,₹169.4 M,753.0 K,₹225,73.59 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,BSE: 543746
599,Chaman Metallics,207.86 x Oversubscribed,"₹114,000",3000,₹242.1 M,6.4 M,₹38,73.6 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL/INTERM.PRODUCTS,NSE: CMNL
600,Sah Polymers,17.46 x Oversubscribed,"₹14,950",230,₹622.2 M - ₹663.0 M,10.2 M,₹61 - ₹65,60.46 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,NSE: SAH | BSE: 543743
601,Rex Sealing,2.65 x Oversubscribed,"₹135,000",1000,₹80.9 M,599.0 K,₹135,73.02 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,BSE: 543744
602,SVS Ventures,1.27 x Oversubscribed,"₹120,000",6000,₹112.4 M,5.6 M,₹20,73.67 %,SECTOR : REALTY,INDUSTRY : REALTY,BSE: 543745
603,Anlon Technology,428.48 x Oversubscribed,"₹120,000",1200,₹150.0 M,1.5 M,₹100,73.24 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: ANLON
604,RBM Infracon,40.27 x Oversubscribed,"₹108,000",3000,₹83.7 M,2.3 M,₹36,72.46 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: RBMINFRA
605,Radiant Cash Mgmt,0.46 x Undersubscribed,"₹14,850",150,"₹3,683.4 M - ₹3,879.4 M",39.2 M,₹94 - ₹99,63.49 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,NSE: RADIANTCMS | BSE: 543732
606,Homesfy Realty,21.66 x Oversubscribed,"₹118,200",600,₹158.6 M,805.2 K,₹197,73.64 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: HOMESFY
607,Unimech Aerospace,175.31 x Oversubscribed,"₹14,155",19,"₹4,745.2 M - ₹5,000.0 M",6.4 M,₹745 - ₹785,79.82 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: UNIMECH | BSE: 544322
608,Senores Pharmaceuticals Ltd.,93.41 x Oversubscribed,"₹14,136",38,"₹5,538.2 M - ₹5,821.1 M",14.9 M,₹372 - ₹391,43.59 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: SENORES | BSE: 544319
609,Carraro India Ltd.,1.12 x Oversubscribed,"₹14,028",21,"₹11,860.8 M - ₹12,500.0 M",17.8 M,₹668 - ₹704,68.77 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : COMMERCIAL VEHICLES,NSE: CARRARO | BSE: 544320
610,Ventive Hospitality Ltd.,9.8 x Oversubscribed,"₹14,030",23,"₹15,178.8 M - ₹16,000.0 M",24.9 M,₹610 - ₹643,88.98 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,NSE: VENTIVE | BSE: 544321
611,Concord Enviro Systems Ltd.,10.67 x Oversubscribed,"₹13,965",21,"₹4,746.3 M - ₹5,003.3 M",7.1 M,₹665 - ₹701,31.16 %,SECTOR : UTILITIES,INDUSTRY : WASTE MANAGEMENT,NSE: CEWATER | BSE: 544315
612,Transrail Lighting Ltd.,80.8 x Oversubscribed,"₹13,940",34,"₹7,961.9 M - ₹8,389.1 M",19.4 M,₹410 - ₹432,71.12 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,NSE: TRANSRAILL | BSE: 544317
613,Sanathan Textiles Ltd.,35.12 x Oversubscribed,"₹14,030",46,"₹5,225.9 M - ₹5,500.0 M",17.1 M,₹305 - ₹321,77.6 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: SANATHAN | BSE: 544314
614,Mamata Machinery Ltd.,194.95 x Oversubscribed,"₹14,030",61,"₹1,697.9 M - ₹1,793.9 M",7.4 M,₹230 - ₹243,62.45 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: MAMATA | BSE: 544318
615,Dam Capital Advisors Ltd.,82.08 x Oversubscribed,"₹14,257",53,"₹7,986.9 M - ₹8,402.5 M",29.7 M,₹269 - ₹283,3.88 %,SECTOR : BANKING AND FINANCE,INDUSTRY : CAPITAL MARKETS,NSE: DAMCAPITAL | BSE: 544316
616,Newmalayalam Steel Ltd.,48.19 x Oversubscribed,"₹136,000",1600,₹394.4 M - ₹417.6 M,4.6 M,₹85 - ₹90,73.02 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: NMSTEEL
617,Identical Brains Studios Ltd.,506.09 x Oversubscribed,"₹102,000",2000,₹188.4 M - ₹199.5 M,3.7 M,₹51 - ₹54,63.74 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: IDENTICAL
618,NACDAC Infrastructure Ltd.,1976.13 x Oversubscribed,"₹132,000",4000,₹94.4 M - ₹100.1 M,2.9 M,₹33 - ₹35,69.84 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 544313
619,International Gemmological Institute India Ltd.,33.78 x Oversubscribed,"₹13,895",35,"₹40,223.6 M - ₹42,250.0 M",101.3 M,₹397 - ₹417,76.55 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: IGIL | BSE: 544311
620,Hamps Bio Ltd.,1003.34 x Oversubscribed,"₹102,000",2000,₹62.2 M,1.2 M,₹51,71.99 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,BSE: 544312 | ASM
621,Inventurus Knowledge Solutions Ltd.,52.68 x Oversubscribed,"₹13,915",11,"₹23,776.3 M - ₹24,979.2 M",18.8 M,₹1265 - ₹1329,58.78 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: IKS | BSE: 544309
622,Yash Highvoltage Ltd.,169.17 x Oversubscribed,"₹138,000",1000,"₹1,039.8 M - ₹1,100.1 M",7.5 M,₹138 - ₹146,57.7 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,BSE: 544310 | ASM
623,One MobiKwik Systems Ltd.,119.38 x Oversubscribed,"₹14,045",53,"₹5,433.0 M - ₹5,720.0 M",20.5 M,₹265 - ₹279,25.18 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: MOBIKWIK | BSE: 544305
624,Sai Life Sciences Ltd.,10.26 x Oversubscribed,"₹14,094",27,"₹28,929.8 M - ₹30,426.2 M",55.4 M,₹522 - ₹549,20.02 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: SAILIFE | BSE: 544306
625,Vishal Mega Mart Ltd.,27.28 x Oversubscribed,"₹14,060",190,"₹75,897.4 M - ₹80,000.0 M","1,025.6 M",₹74 - ₹78,76.02 %,SECTOR : RETAILING,INDUSTRY : DEPARTMENT STORES,NSE: VMM | BSE: 544307
626,Purple United Sales Ltd.,148.9 x Oversubscribed,"₹121,000",1000,₹315.1 M - ₹328.1 M,2.6 M,₹121 - ₹126,63.82 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: PURPLEUTED
627,Supreme Facility Management Ltd.,25.71 x Oversubscribed,"₹115,200",1600,₹473.7 M - ₹500.0 M,6.6 M,₹72 - ₹76,71.51 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: SFML
628,Toss The Coin Ltd.,952.56 x Oversubscribed,"₹103,200",600,₹86.7 M - ₹91.7 M,504.0 K,₹172 - ₹182,58.67 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,BSE: 544303
629,Jungle Camps India Ltd.,459.97 x Oversubscribed,"₹108,800",1600,₹277.9 M - ₹294.2 M,4.1 M,₹68 - ₹72,69.63 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,BSE: 544304
630,Dhanlaxmi Crop Science Ltd.,565.01 x Oversubscribed,"₹104,000",2000,₹225.1 M - ₹238.0 M,4.3 M,₹52 - ₹55,56.37 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: DHANLAXMI
631,Emerald Tyre Manufacturers Ltd.,488.52 x Oversubscribed,"₹108,000",1200,₹466.7 M - ₹492.6 M,5.2 M,₹90 - ₹95,49.29 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO TYRES & RUBBER PRODUCTS,NSE: ETML
632,Nisus Finance Services Co Ltd.,177.55 x Oversubscribed,"₹136,000",800,"₹1,078.9 M - ₹1,142.4 M",6.3 M,₹170 - ₹180,73.22 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,BSE: 544296
633,Property Share Investment Trust,1.19 x Oversubscribed,"₹1,000,000",1,"₹3,361.0 M - ₹3,529.1 M",3.4 K,₹1000000 - ₹1050000,-,SECTOR : REALTY,INDUSTRY : REITS-INVITS,BSE: 544295
634,Suraksha Diagnostic Ltd.,1.27 x Oversubscribed,"₹14,280",34,"₹8,059.5 M - ₹8,462.5 M",19.2 M,₹420 - ₹441,24.22 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: SURAKSHA | BSE: 544293
635,Ganesh Infraworld Ltd.,326.16 x Oversubscribed,"₹124,800",1600,₹926.4 M - ₹985.8 M,11.9 M,₹78 - ₹83,59.09 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: GANESHIN
636,Agarwal Toughened Glass India Ltd.,9.25 x Oversubscribed,"₹126,000",1200,₹609.0 M - ₹626.4 M,5.8 M,₹105 - ₹108,63.94 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION MATERIALS,NSE: AGARWALTUF
637,Apex Ecotech Ltd.,420.73 x Oversubscribed,"₹113,600",1600,₹248.4 M - ₹255.4 M,3.5 M,₹71 - ₹73,69.29 %,SECTOR : UTILITIES,INDUSTRY : UTILITIES:NON-ELECTRICAL,NSE: APEXECO
638,Abha Power and Steel Ltd.,16.66 x Oversubscribed,"₹120,000",1600,₹385.4 M,5.1 M,₹75,72.35 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: ABHAPOWER
639,C2C Advanced Systems Ltd.,116.64 x Oversubscribed,"₹128,400",600,₹938.1 M - ₹990.7 M,4.4 M,₹214 - ₹226,40.73 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : AEROSPACE & DEFENCE,NSE: C2C
640,Rajputana Biodiesel Ltd.,645.81 x Oversubscribed,"₹123,000",1000,₹233.7 M - ₹247.0 M,1.9 M,₹123 - ₹130,65.69 %,SECTOR : UTILITIES,INDUSTRY : UTILITIES:NON-ELECTRICAL,NSE: RAJPUTANA
641,Rajesh Power Services Ltd.,54.91 x Oversubscribed,"₹127,600",400,"₹1,528.0 M - ₹1,604.7 M",4.8 M,₹319 - ₹335,73.4 %,SECTOR : UTILITIES,INDUSTRY : POWER - ELECTRIC UTILITIES,BSE: 544291
642,Enviro Infra Engineers Ltd.,89.9 x Oversubscribed,"₹14,140",101,"₹6,152.7 M - ₹6,504.3 M",43.9 M,₹140 - ₹148,70.02 %,SECTOR : UTILITIES,INDUSTRY : UTILITIES:NON-ELECTRICAL,NSE: EIEL | BSE: 544290
643,Lamosaic India Ltd.,1.73 x Oversubscribed,"₹120,000",600,₹612.0 M,3.1 M,₹200,70.4 %,SECTOR : FOREST MATERIALS,INDUSTRY : FOREST PRODUCTS,NSE: LAMOSAIC
644,NTPC Green Energy Ltd.,2.42 x Oversubscribed,"₹14,076",138,"₹94,444.4 M - ₹100,000.0 M",925.9 M,₹102 - ₹108,890.11 %,SECTOR : UTILITIES,INDUSTRY : GREEN & RENEWABLE ENERGY,NSE: NTPCGREEN | BSE: 544289
645,Zinka Logistics Solutions Ltd.,1.86 x Oversubscribed,"₹13,986",54,"₹10,575.6 M - ₹11,147.2 M",40.8 M,₹259 - ₹273,18.68 %,SECTOR : TRANSPORTATION,INDUSTRY : TRANSPORT RELATED SERVICES,NSE: BLACKBUCK | BSE: 544288
646,Onyx Biotec Ltd.,184.6 x Oversubscribed,"₹116,000",2000,₹279.0 M - ₹293.4 M,4.8 M,₹58 - ₹61,65.1 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: ONYX
647,Mangal Compusolution Ltd.,32.86 x Oversubscribed,"₹135,000",3000,₹162.3 M,3.6 M,₹45,73.5 %,SECTOR : HARDWARE TECHNOLOGY & EQUIPMENT,INDUSTRY : COMPUTER HARDWARE,BSE: 544287
648,Neelam Linens and Garments (India) Ltd.,85.51 x Oversubscribed,"₹120,000",6000,₹108.4 M - ₹130.0 M,5.4 M,₹20 - ₹24,54.3 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: NEELAM
649,Niva Bupa Health Insurance Company Ltd.,1.8 x Oversubscribed,"₹14,000",200,"₹20,810.8 M - ₹22,000.0 M",297.3 M,₹70 - ₹74,73.44 %,SECTOR : BANKING AND FINANCE,INDUSTRY : GENERAL INSURANCE,NSE: NIVABUPA | BSE: 544286
650,ACME Solar Holdings Ltd.,2.75 x Oversubscribed,"₹14,025",51,"₹27,595.2 M - ₹29,000.0 M",100.3 M,₹275 - ₹289,83.42 %,SECTOR : UTILITIES,INDUSTRY : GREEN & RENEWABLE ENERGY,NSE: ACMESOLAR | BSE: 544283
651,Swiggy Ltd.,3.59 x Oversubscribed,"₹14,098",38,"₹107,755.8 M - ₹113,274.3 M",290.4 M,₹371 - ₹390,-,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: SWIGGY | BSE: 544285
652,Sagility India Ltd.,3.2 x Oversubscribed,"₹14,000",500,"₹19,661.6 M - ₹21,066.0 M",702.2 M,₹28 - ₹30,85 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: SAGILITY | BSE: 544282
653,Afcons Infrastructure Ltd.,2.63 x Oversubscribed,"₹14,080",32,"₹51,602.6 M - ₹54,300.0 M",117.3 M,₹440 - ₹463,67.18 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: AFCONS | BSE: 544280
654,Usha Financial Services Ltd.,17.96 x Oversubscribed,"₹128,000",800,₹937.6 M - ₹984.5 M,5.9 M,₹160 - ₹168,72.24 %,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCE (INCLUDING NBFCS),NSE: USHAFIN
655,Godavari Biorefineries Ltd.,1.83 x Oversubscribed,"₹14,028",42,"₹5,263.8 M - ₹5,547.5 M",15.8 M,₹334 - ₹352,53.68 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: GODAVARIB | BSE: 544279
656,Danish Power Ltd.,117.9 x Oversubscribed,"₹108,000",300,"₹1,874.9 M - ₹1,979.0 M",5.2 M,₹360 - ₹380,73.55 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,NSE: DANISH
657,OBSC Perfection Ltd.,15.46 x Oversubscribed,"₹114,000",1200,₹627.2 M - ₹660.2 M,6.6 M,₹95 - ₹100,73 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: OBSCP
658,United Heat Transfer Ltd.,78.02 x Oversubscribed,"₹112,000",2000,₹284.7 M - ₹300.0 M,5.1 M,₹56 - ₹59,67.09 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: UHTL
659,Waaree Energies Ltd.,76.34 x Oversubscribed,"₹12,843",9,"₹41,029.2 M - ₹43,214.4 M",28.8 M,₹1427 - ₹1503,64.15 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: WAAREEENER | BSE: 544277
660,Deepak Builders & Engineers India Ltd.,41.54 x Oversubscribed,"₹14,016",73,"₹2,459.5 M - ₹2,600.4 M",12.8 M,₹192 - ₹203,72.5 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: DBEIL | BSE: 544276
661,Premium Plast Ltd.,36.96 x Oversubscribed,"₹138,000",3000,₹245.9 M - ₹262.0 M,5.3 M,₹46 - ₹49,68.73 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: PREMIUM
662,Freshara Agro Exports Ltd.,205.98 x Oversubscribed,"₹132,000",1200,₹714.9 M - ₹753.9 M,6.5 M,₹110 - ₹116,62.58 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,NSE: FRESHARA
663,Lakshya Powertech Ltd.,533.89 x Oversubscribed,"₹136,800",800,₹474.1 M - ₹499.1 M,2.8 M,₹171 - ₹180,69.22 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: LAKSHYA
664,Hyundai Motor India Ltd.,2.37 x Oversubscribed,"₹13,055",7,"₹265,193.1 M - ₹278,701.6 M",142.2 M,₹1865 - ₹1960,82.5 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : CARS & UTILITY VEHICLES,NSE: HYUNDAI | BSE: 544274
665,Pranik Logistics Ltd.,201.3 x Oversubscribed,"₹116,800",1600,₹213.0 M - ₹224.7 M,2.9 M,₹73 - ₹77,73.49 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: PRANIK
